model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.16347,0.17695,0.14999,1.57,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.1107,0.10779,0.11362,6.42,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.12196,0.11242,0.13151,3.71,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.14208,0.14318,0.14098,2.32,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.14208,0.14318,0.14098,2.32,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.20633,0.23575,0.17691,2.21,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.24356,0.27405,0.21307,1.31,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.4582,0.32451,0.5919,0.81,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.4582,0.32451,0.5919,0.83,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.14347,0.14242,0.14453,4.35,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.16348,0.1691,0.15786,2.5,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.22655,0.25422,0.19889,1.6,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.22655,0.25422,0.19889,1.58,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.12969,0.12652,0.13286,6.53,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.13798,0.13377,0.14218,3.76,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.17363,0.18279,0.16446,2.34,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.17363,0.18279,0.16446,2.36,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.13411,0.13488,0.13333,2.18,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.14821,0.14591,0.15051,1.24,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.19814,0.21619,0.18009,0.81,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.19814,0.21619,0.18009,0.81,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.11646,0.1288,0.10413,4.32,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.12698,0.11082,0.14315,2.5,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.13725,0.13405,0.14045,1.56,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.13725,0.13405,0.14045,1.6,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.10483,0.10378,0.10587,6.49,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.11847,0.11118,0.12576,3.81,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.12379,0.11044,0.13714,2.43,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.12379,0.11044,0.13714,2.42,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.14948,0.14744,0.15153,2.24,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.18232,0.18592,0.17872,1.32,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.27006,0.27081,0.26931,1.05,ok
