gamma,C,c3,sum_rmse,picp_val,score,status
0.0009765625,0.0009765625,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.0013810679320049757,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.001953125,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.0027621358640099515,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.00390625,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.005524271728019903,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.0078125,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.011048543456039806,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.015625,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.02209708691207961,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.03125,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0009765625,0.04419417382415922,1,0.9768347341378156,0.0,9.976834734137816,ok
0.0009765625,0.0625,1,0.762734494376847,0.24,7.362734494376848,ok
0.0009765625,0.08838834764831845,1,0.6045665355201093,0.5,4.604566535520109,ok
0.0009765625,0.125,1,0.5077542040905741,0.58,3.7077542040905747,ok
0.0009765625,0.1767766952966369,1,0.4482054756811822,0.72,2.248205475681183,ok
0.0009765625,0.25,1,0.45096523501011776,0.76,1.850965235010118,ok
0.0009765625,0.3535533905932738,1,0.45559135108134574,0.78,1.6555913510813456,ok
0.0009765625,0.5,1,0.5011557108036593,0.84,1.1011557108036598,ok
0.0009765625,0.7071067811865476,1,0.5563323725257354,0.86,0.9563323725257358,ok
0.0009765625,1.0,1,0.5563132518941413,0.86,0.9563132518941416,ok
0.0009765625,1.4142135623730951,1,0.5562686192638122,0.86,0.9562686192638126,ok
0.0009765625,2.0,1,0.616375852775554,0.9,0.616375852775554,ok
0.0009765625,2.8284271247461903,1,0.6163570721227761,0.9,0.6163570721227761,ok
0.0009765625,4.0,1,0.6163377247813004,0.9,0.6163377247813004,ok
0.0009765625,5.656854249492381,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,8.0,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,11.313708498984761,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,16.0,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,22.627416997969522,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,32.0,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,45.254833995939045,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,64.0,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,90.50966799187809,1,0.6163377247814403,0.9,0.6163377247814403,ok
0.0009765625,128.0,1,0.5787417649654842,0.86,0.9787417649654846,ok
0.0009765625,181.01933598375618,1,0.5787417649655007,0.86,0.978741764965501,ok
0.0009765625,256.0,1,0.5822992922309302,0.86,0.9822992922309306,ok
0.0009765625,362.03867196751236,1,0.5822992922309271,0.86,0.9822992922309275,ok
0.0009765625,512.0,1,0.5728532038440908,0.86,0.9728532038440911,ok
0.0009765625,724.0773439350247,1,0.5606511830877491,0.86,0.9606511830877494,ok
0.0009765625,1024.0,1,0.5538811519739344,0.86,0.9538811519739347,ok
0.0013810679320049757,0.0009765625,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.0013810679320049757,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.001953125,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.0027621358640099515,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.00390625,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.005524271728019903,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.0078125,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.011048543456039806,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.015625,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.02209708691207961,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.03125,1,1.0031269617814114,0.0,10.003126961781412,ok
0.0013810679320049757,0.04419417382415922,1,0.9768347341378156,0.0,9.976834734137816,ok
0.0013810679320049757,0.0625,1,0.762734494376847,0.24,7.362734494376848,ok
0.0013810679320049757,0.08838834764831845,1,0.6045665355201093,0.5,4.604566535520109,ok
0.0013810679320049757,0.125,1,0.5077542040905741,0.58,3.7077542040905747,ok
0.0013810679320049757,0.1767766952966369,1,0.44807438605730376,0.72,2.2480743860573043,ok
0.0013810679320049757,0.25,1,0.45120558984173975,0.76,1.8512055898417399,ok
0.0013810679320049757,0.3535533905932738,1,0.45526521277361787,0.78,1.6552652127736178,ok
0.0013810679320049757,0.5,1,0.5005515124998361,0.84,1.1005515124998366,ok
0.0013810679320049757,0.7071067811865476,1,0.5556424841059509,0.84,1.1556424841059514,ok
