model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.36284,0.35752,0.36816,1.32,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.19016,0.23011,0.1502,3.31,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.22529,0.29908,0.1515,1.94,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.22529,0.29908,0.1515,1.93,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.22529,0.29908,0.1515,1.95,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.45992,0.40619,0.51365,1.14,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.50236,0.40818,0.59654,0.64,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.50236,0.40818,0.59654,0.66,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.50236,0.40818,0.59654,0.67,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.27882,0.37368,0.18396,2.23,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.4235,0.39671,0.45028,1.31,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.4235,0.39671,0.45028,1.31,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.4235,0.39671,0.45028,1.29,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.2419,0.32699,0.1568,3.34,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.2999,0.37472,0.22507,1.95,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.2999,0.37472,0.22507,1.96,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.2999,0.37472,0.22507,1.95,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.24714,0.33675,0.15753,1.12,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.3584,0.37792,0.33888,0.65,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.3584,0.37792,0.33888,0.68,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.3584,0.37792,0.33888,0.67,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.17486,0.20521,0.14452,2.24,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.22305,0.29763,0.14848,1.3,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.22305,0.29763,0.14848,1.32,ok
