model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
NGB,400,0,-1,0.958333,2.005,0.1656,2.0898,0.0
NGB,400,1,0,0.94,1.9787,0.1697,2.0812,0.73
NGB,400,1,-1,0.94,1.9787,0.1697,2.0812,0.0
NGB,400,2,0,0.888333,1.8488,0.1922,2.1441,0.75
NGB,400,2,-1,0.888333,1.8488,0.1922,2.1441,0.0
NGB,400,3,0,0.968333,2.07,0.192,2.1131,0.74
NGB,400,3,-1,0.968333,2.07,0.192,2.1131,0.0
NGB,400,4,0,0.916667,1.9389,0.1894,2.1157,0.74
NGB,400,4,-1,0.916667,1.9389,0.1894,2.1157,0.0
NGB,400,5,0,0.951667,1.9883,0.1825,2.0715,0.73
NGB,400,5,-1,0.951667,1.9883,0.1825,2.0715,0.0
NGB,400,6,0,0.953333,1.9891,0.1546,2.067,0.74
NGB,400,6,-1,0.953333,1.9891,0.1546,2.067,0.0
NGB,400,7,0,0.956667,1.9536,0.1447,2.0205,0.74
NGB,400,7,-1,0.956667,1.9536,0.1447,2.0205,0.0
NGB,400,8,0,0.963333,2.0428,0.1655,2.0882,0.73
NGB,400,8,-1,0.963333,2.0428,0.1655,2.0882,0.0
NGB,400,9,0,0.96,1.9928,0.1579,2.0504,0.73
NGB,400,9,-1,0.96,1.9928,0.1579,2.0504,0.0
NGB,800,0,0,0.966667,2.0797,0.1916,2.1313,0.78
NGB,800,0,-1,0.966667,2.0797,0.1916,2.1313,0.0
NGB,800,1,0,0.94,1.9514,0.1591,2.0766,0.79
NGB,800,1,-1,0.94,1.9514,0.1591,2.0766,0.0
NGB,800,2,0,0.958333,1.9898,0.1643,2.0396,0.79
NGB,800,2,-1,0.958333,1.9898,0.1643,2.0396,0.0
NGB,800,3,0,0.968333,2.0202,0.1713,2.0677,0.78
NGB,800,3,-1,0.968333,2.0202,0.1713,2.0677,0.0
NGB,800,4,0,0.955,2.0128,0.1628,2.0742,0.79
NGB,800,4,-1,0.955,2.0128,0.1628,2.0742,0.0
NGB,800,5,0,0.941667,1.9517,0.1551,2.0364,0.79
NGB,800,5,-1,0.941667,1.9517,0.1551,2.0364,0.0
NGB,800,6,0,0.96,2.0424,0.1843,2.1161,0.78
NGB,800,6,-1,0.96,2.0424,0.1843,2.1161,0.0
NGB,800,7,0,0.965,2.0091,0.16,2.0476,0.79
NGB,800,7,-1,0.965,2.0091,0.16,2.0476,0.0
NGB,800,8,0,0.971667,2.0351,0.1609,2.0735,0.79
NGB,800,8,-1,0.971667,2.0351,0.1609,2.0735,0.0
NGB,800,9,0,0.945,1.9937,0.1597,2.0554,0.79
NGB,800,9,-1,0.945,1.9937,0.1597,2.0554,0.0
