model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
QRF,50,7,5,0.873333,1.824,0.2281,2.3639,0.48
QRF,50,7,6,0.896667,1.8815,0.2233,2.2642,0.48
QRF,50,7,7,0.86,1.7966,0.2291,2.3658,0.47
QRF,50,7,8,0.85,1.7404,0.2272,2.3827,0.48
QRF,50,7,9,0.883333,1.85,0.2052,2.2353,0.49
QRF,50,7,-1,0.9,1.8453,0.1804,2.1661,0.0
QRF,50,8,0,0.821667,1.6693,0.2511,2.2436,0.48
QRF,50,8,1,0.798333,1.6304,0.2643,2.3588,0.48
QRF,50,8,2,0.805,1.6268,0.2785,2.414,0.48
QRF,50,8,3,0.851667,1.735,0.2339,2.2866,0.47
QRF,50,8,4,0.861667,1.7585,0.2268,2.2433,0.48
QRF,50,8,5,0.835,1.717,0.2387,2.2765,0.48
QRF,50,8,6,0.825,1.681,0.2462,2.3249,0.49
QRF,50,8,7,0.833333,1.6859,0.2455,2.2975,0.48
QRF,50,8,8,0.826667,1.6812,0.2542,2.3374,0.48
QRF,50,8,9,0.815,1.6907,0.2515,2.3627,0.49
QRF,50,8,-1,0.833333,1.6876,0.2335,2.2392,0.0
QRF,50,9,0,0.926667,1.9522,0.2071,2.0849,0.47
QRF,50,9,1,0.938333,1.9575,0.1939,2.0654,0.48
QRF,50,9,2,0.91,1.9053,0.2139,2.1196,0.47
QRF,50,9,3,0.89,1.8715,0.2197,2.1378,0.48
QRF,50,9,4,0.898333,1.8735,0.2151,2.1189,0.47
QRF,50,9,5,0.933333,1.9655,0.1964,2.0768,0.47
QRF,50,9,6,0.903333,1.9044,0.2122,2.1158,0.47
QRF,50,9,7,0.898333,1.8866,0.2267,2.1308,0.47
QRF,50,9,8,0.935,1.9866,0.2227,2.1138,0.47
QRF,50,9,9,0.918333,1.9336,0.202,2.0825,0.47
QRF,50,9,-1,0.926667,1.9237,0.1926,2.0541,0.0
QRF,100,0,0,0.901667,1.775,0.131,2.0587,0.47
QRF,100,0,1,0.9,1.7545,0.1266,2.039,0.47
QRF,100,0,2,0.881667,1.7426,0.1316,2.0702,0.47
QRF,100,0,3,0.885,1.7571,0.1374,2.0511,0.47
QRF,100,0,4,0.893333,1.755,0.1337,2.0835,0.47
QRF,100,0,5,0.871667,1.7502,0.1437,2.0896,0.46
QRF,100,0,6,0.878333,1.7305,0.1234,2.044,0.47
QRF,100,0,7,0.878333,1.7391,0.1302,2.059,0.47
QRF,100,0,8,0.87,1.7465,0.1532,2.1135,0.48
QRF,100,0,9,0.893333,1.773,0.1383,2.0734,0.47
QRF,100,0,-1,0.893333,1.7524,0.1227,2.0374,0.0
QRF,100,1,0,0.855,1.7364,0.1695,2.2041,0.47
QRF,100,1,1,0.868333,1.7636,0.1442,2.1114,0.47
QRF,100,1,2,0.876667,1.7783,0.145,2.0712,0.49
QRF,100,1,3,0.88,1.7823,0.1482,2.1293,0.47
QRF,100,1,4,0.873333,1.778,0.1468,2.1257,0.48
QRF,100,1,5,0.858333,1.7506,0.1663,2.1653,0.48
QRF,100,1,6,0.88,1.7836,0.1446,2.0939,0.48
QRF,100,1,7,0.865,1.7672,0.1456,2.0885,0.47
QRF,100,1,8,0.853333,1.7469,0.1627,2.1581,0.48
QRF,100,1,9,0.878333,1.7952,0.1453,2.0849,0.47
QRF,100,1,-1,0.871667,1.7682,0.131,2.0613,0.0
QRF,100,2,0,0.866667,1.7208,0.1429,2.0817,0.48
QRF,100,2,1,0.876667,1.74,0.1483,2.0992,0.47
QRF,100,2,2,0.878333,1.7391,0.1393,2.0728,0.47
QRF,100,2,3,0.878333,1.7422,0.1442,2.0848,0.47
QRF,100,2,4,0.873333,1.738,0.1424,2.105,0.47
QRF,100,2,5,0.87,1.7244,0.143,2.0824,0.47
QRF,100,2,6,0.888333,1.7531,0.132,2.0499,0.47
QRF,100,2,7,0.875,1.7325,0.1366,2.0617,0.47
QRF,100,2,8,0.868333,1.7242,0.1417,2.0946,0.47
QRF,100,2,9,0.876667,1.7404,0.1365,2.0726,0.48
QRF,100,2,-1,0.876667,1.7355,0.1317,2.0594,0.0
QRF,100,3,0,0.85,1.7563,0.1638,2.1291,0.48
QRF,100,3,1,0.846667,1.7465,0.1617,2.1157,0.48
QRF,100,3,2,0.855,1.7495,0.1537,2.1003,0.47
QRF,100,3,3,0.855,1.747,0.1625,2.1236,0.59
QRF,100,3,4,0.856667,1.7586,0.1706,2.1207,0.48
QRF,100,3,5,0.855,1.7415,0.1609,2.1,0.47
QRF,100,3,6,0.863333,1.7606,0.1568,2.099,0.48
QRF,100,3,7,0.863333,1.7547,0.153,2.0878,0.48
QRF,100,3,8,0.846667,1.7493,0.163,2.1323,0.48
QRF,100,3,9,0.851667,1.7532,0.1568,2.1015,0.49
QRF,100,3,-1,0.856667,1.7517,0.1529,2.0933,0.0
QRF,100,4,0,0.835,1.6889,0.1812,2.3103,0.47
QRF,100,4,1,0.825,1.6621,0.1993,2.3673,0.47
QRF,100,4,2,0.838333,1.679,0.1826,2.3013,0.46
QRF,100,4,3,0.83,1.6569,0.1966,2.4044,0.46
QRF,100,4,4,0.826667,1.6614,0.1995,2.3681,0.47
QRF,100,4,5,0.831667,1.6691,0.1702,2.2441,0.47
QRF,100,4,6,0.838333,1.705,0.1968,2.3715,0.47
QRF,100,4,7,0.818333,1.65,0.1852,2.2941,0.47
QRF,100,4,8,0.83,1.6645,0.2001,2.3834,0.48
QRF,100,4,9,0.841667,1.7069,0.1806,2.2701,0.47
QRF,100,4,-1,0.835,1.6744,0.1791,2.3168,0.0
QRF,100,5,0,0.86,1.73,0.1685,2.1545,0.46
QRF,100,5,1,0.86,1.7327,0.1883,2.168,0.47
QRF,100,5,2,0.861667,1.7347,0.1711,2.1528,0.46
QRF,100,5,3,0.868333,1.7403,0.1725,2.1502,0.48
QRF,100,5,4,0.863333,1.7283,0.1715,2.1323,0.46
QRF,100,5,5,0.865,1.7454,0.1701,2.1426,0.47
QRF,100,5,6,0.866667,1.7516,0.1733,2.1201,0.47
QRF,100,5,7,0.863333,1.7267,0.1714,2.1532,0.46
QRF,100,5,8,0.866667,1.736,0.1732,2.1556,0.47
QRF,100,5,9,0.861667,1.722,0.1692,2.1267,0.46
QRF,100,5,-1,0.875,1.7348,0.1642,2.1223,0.0
QRF,100,6,0,0.783333,1.5384,0.2421,2.4018,0.47
QRF,100,6,1,0.781667,1.5374,0.2547,2.534,0.47
QRF,100,6,2,0.78,1.5323,0.26,2.5076,0.47
QRF,100,6,3,0.783333,1.537,0.2492,2.4322,0.47
QRF,100,6,4,0.786667,1.5381,0.2487,2.4899,0.47
QRF,100,6,5,0.813333,1.5791,0.2202,2.3471,0.47
QRF,100,6,6,0.796667,1.5659,0.2232,2.3132,0.47
QRF,100,6,7,0.78,1.5309,0.2566,2.4996,0.46
QRF,100,6,8,0.785,1.5443,0.2398,2.3961,0.46
QRF,100,6,9,0.795,1.5527,0.2259,2.3511,0.46
QRF,100,6,-1,0.785,1.5456,0.2345,2.3787,0.0
QRF,100,7,0,0.883333,1.7853,0.1256,2.0701,0.47
QRF,100,7,1,0.89,1.7959,0.1295,2.0658,0.47
QRF,100,7,2,0.886667,1.7921,0.1196,2.041,0.46
QRF,100,7,3,0.891667,1.8025,0.1234,2.0416,0.48
QRF,100,7,4,0.87,1.7466,0.1273,2.0591,0.46
QRF,100,7,5,0.871667,1.7489,0.1297,2.0607,0.48
QRF,100,7,6,0.886667,1.7971,0.1269,2.0655,0.47
QRF,100,7,7,0.875,1.7542,0.1349,2.0917,0.47
QRF,100,7,8,0.888333,1.7874,0.1225,2.0421,0.47
QRF,100,7,9,0.876667,1.7734,0.1252,2.0564,0.48
QRF,100,7,-1,0.886667,1.7783,0.1139,2.0355,0.0
QRF,100,8,0,0.886667,1.7782,0.1462,2.0857,0.47
QRF,100,8,1,0.881667,1.7689,0.1448,2.0857,0.48
QRF,100,8,2,0.87,1.7562,0.1819,2.2194,0.49
QRF,100,8,3,0.88,1.7599,0.1548,2.1501,0.47
QRF,100,8,4,0.876667,1.7432,0.1437,2.0941,0.48
QRF,100,8,5,0.863333,1.7281,0.1588,2.2042,0.48
QRF,100,8,6,0.878333,1.7862,0.1788,2.1868,0.47
QRF,100,8,7,0.866667,1.7434,0.1732,2.1875,0.47
QRF,100,8,8,0.858333,1.745,0.169,2.2029,0.47
QRF,100,8,9,0.875,1.766,0.1648,2.1372,0.45
QRF,100,8,-1,0.876667,1.7575,0.1507,2.1286,0.0
QRF,100,9,0,0.768333,1.5446,0.2229,2.3918,0.4
QRF,100,9,1,0.768333,1.5704,0.2333,2.4937,0.4
QRF,100,9,2,0.786667,1.5665,0.204,2.2515,0.39
QRF,100,9,3,0.766667,1.5314,0.235,2.431,0.43
QRF,100,9,4,0.795,1.5723,0.2185,2.3508,0.44
QRF,100,9,5,0.805,1.6001,0.1926,2.2245,0.42
QRF,100,9,6,0.785,1.584,0.2136,2.3428,0.39
QRF,100,9,7,0.78,1.5705,0.2209,2.3911,0.39
QRF,100,9,8,0.771667,1.5368,0.2309,2.4197,0.37
QRF,100,9,9,0.79,1.5652,0.2201,2.3738,0.42
QRF,100,9,-1,0.78,1.5642,0.2111,2.3249,0.0
QRF,200,0,0,0.853333,1.6326,0.1742,2.1006,0.43
QRF,200,0,1,0.846667,1.6263,0.1788,2.1114,0.41
QRF,200,0,2,0.848333,1.6415,0.1761,2.1386,0.36
QRF,200,0,3,0.836667,1.6299,0.1855,2.152,0.34
QRF,200,0,4,0.835,1.6283,0.1839,2.1561,0.38
QRF,200,0,5,0.838333,1.6235,0.1795,2.1435,0.37
QRF,200,0,6,0.85,1.6279,0.1749,2.1049,0.42
QRF,200,0,7,0.84,1.6298,0.1812,2.1151,0.36
QRF,200,0,8,0.841667,1.6313,0.1838,2.1582,0.38
QRF,200,0,9,0.843333,1.6337,0.1812,2.1347,0.37
QRF,200,0,-1,0.843333,1.6305,0.172,2.1014,0.0
QRF,200,1,0,0.853333,1.665,0.1727,2.1729,0.38
QRF,200,1,1,0.85,1.6587,0.1836,2.2018,0.35
QRF,200,1,2,0.838333,1.6544,0.1934,2.2407,0.36
QRF,200,1,3,0.843333,1.6593,0.1824,2.1648,0.36
QRF,200,1,4,0.85,1.6638,0.1774,2.2216,0.38
QRF,200,1,5,0.83,1.6279,0.2035,2.256,0.39
QRF,200,1,6,0.836667,1.6465,0.1877,2.1574,0.4
QRF,200,1,7,0.843333,1.6449,0.1915,2.1746,0.37
QRF,200,1,8,0.836667,1.6427,0.2029,2.2392,0.38
QRF,200,1,9,0.851667,1.6644,0.1756,2.1586,0.39
QRF,200,1,-1,0.84,1.6528,0.1773,2.169,0.0
QRF,200,2,0,0.873333,1.7413,0.1333,2.0568,0.42
QRF,200,2,1,0.876667,1.7418,0.1302,2.0566,0.38
QRF,200,2,2,0.881667,1.7439,0.1204,2.0409,0.38
QRF,200,2,3,0.88,1.7496,0.1253,2.0424,0.37
QRF,200,2,4,0.866667,1.7254,0.1333,2.0683,0.38
QRF,200,2,5,0.873333,1.7323,0.1364,2.0608,0.38
QRF,200,2,6,0.87,1.7197,0.1337,2.0606,0.34
QRF,200,2,7,0.873333,1.736,0.1253,2.0589,0.35
QRF,200,2,8,0.88,1.7433,0.1267,2.0589,0.36
QRF,200,2,9,0.873333,1.7379,0.1261,2.0593,0.36
QRF,200,2,-1,0.873333,1.7371,0.12,2.0374,0.0
QRF,200,3,0,0.836667,1.6952,0.1835,2.147,0.35
QRF,200,3,1,0.836667,1.6846,0.18,2.1538,0.35
QRF,200,3,2,0.838333,1.7016,0.1794,2.1742,0.38
QRF,200,3,3,0.84,1.7011,0.1859,2.171,0.36
QRF,200,3,4,0.828333,1.6735,0.1844,2.1774,0.38
QRF,200,3,5,0.845,1.7127,0.181,2.1379,0.36
QRF,200,3,6,0.835,1.6763,0.1975,2.2011,0.36
QRF,200,3,7,0.838333,1.6954,0.1862,2.1683,0.35
QRF,200,3,8,0.836667,1.6993,0.185,2.1449,0.43
QRF,200,3,9,0.835,1.6866,0.1911,2.2154,0.34
QRF,200,3,-1,0.838333,1.6926,0.1796,2.1518,0.0
QRF,200,4,0,0.82,1.6012,0.193,2.1719,0.36
QRF,200,4,1,0.813333,1.5883,0.1961,2.1677,0.38
QRF,200,4,2,0.818333,1.6063,0.1879,2.1725,0.37
QRF,200,4,3,0.816667,1.5985,0.1895,2.1938,0.39
QRF,200,4,4,0.813333,1.6034,0.1827,2.1564,0.35
QRF,200,4,5,0.83,1.6398,0.1742,2.1421,0.36
QRF,200,4,6,0.821667,1.6172,0.181,2.1521,0.36
QRF,200,4,7,0.813333,1.6138,0.1846,2.1849,0.37
QRF,200,4,8,0.818333,1.6011,0.1823,2.1461,0.4
QRF,200,4,9,0.831667,1.6164,0.1849,2.1461,0.39
QRF,200,4,-1,0.821667,1.6086,0.1791,2.1448,0.0
QRF,200,5,0,0.815,1.6764,0.1525,2.1016,0.42
QRF,200,5,1,0.82,1.6716,0.1433,2.1011,0.36
QRF,200,5,2,0.82,1.6743,0.144,2.0874,0.39
QRF,200,5,3,0.82,1.658,0.1604,2.1676,0.38
QRF,200,5,4,0.823333,1.6732,0.1504,2.1303,0.38
QRF,200,5,5,0.81,1.662,0.1555,2.1575,0.36
QRF,200,5,6,0.826667,1.6704,0.155,2.1154,0.36
QRF,200,5,7,0.81,1.6713,0.1425,2.1209,0.41
