model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
GPR,400,0,-1,0.883333,1.7538,0.0668,1.9295,0.0
GPR,400,1,0,0.866667,1.6942,0.0713,1.9305,0.01
GPR,400,1,-1,0.866667,1.6942,0.0713,1.9305,0.0
GPR,400,2,0,0.811667,1.5859,0.1654,2.1274,0.01
GPR,400,2,-1,0.811667,1.5859,0.1654,2.1274,0.0
GPR,400,3,0,0.886667,1.7444,0.0578,1.924,0.01
GPR,400,3,-1,0.886667,1.7444,0.0578,1.924,0.0
GPR,400,4,0,0.838333,1.6184,0.1289,2.0106,0.01
GPR,400,4,-1,0.838333,1.6184,0.1289,2.0106,0.0
GPR,400,5,0,0.863333,1.6911,0.0689,1.8964,0.01
GPR,400,5,-1,0.863333,1.6911,0.0689,1.8964,0.0
GPR,400,6,0,0.886667,1.739,0.0791,1.9299,0.01
GPR,400,6,-1,0.886667,1.739,0.0791,1.9299,0.0
GPR,400,7,0,0.868333,1.7036,0.0682,1.9201,0.01
GPR,400,7,-1,0.868333,1.7036,0.0682,1.9201,0.0
GPR,400,8,0,0.883333,1.7381,0.0553,1.9231,0.01
GPR,400,8,-1,0.883333,1.7381,0.0553,1.9231,0.0
GPR,400,9,0,0.896667,1.7547,0.0676,1.9381,0.01
GPR,400,9,-1,0.896667,1.7547,0.0676,1.9381,0.0
GPR,800,0,0,0.893333,1.7623,0.0552,1.9279,0.03
GPR,800,0,-1,0.893333,1.7623,0.0552,1.9279,0.0
GPR,800,1,0,0.87,1.6843,0.0727,1.914,0.03
GPR,800,1,-1,0.87,1.6843,0.0727,1.914,0.0
GPR,800,2,0,0.866667,1.6847,0.0853,1.9371,0.02
GPR,800,2,-1,0.866667,1.6847,0.0853,1.9371,0.0
GPR,800,3,0,0.865,1.6925,0.0669,1.907,0.02
GPR,800,3,-1,0.865,1.6925,0.0669,1.907,0.0
GPR,800,4,0,0.87,1.7099,0.0647,1.9289,0.03
GPR,800,4,-1,0.87,1.7099,0.0647,1.9289,0.0
GPR,800,5,0,0.813333,1.626,0.1098,1.9686,0.03
GPR,800,5,-1,0.813333,1.626,0.1098,1.9686,0.0
GPR,800,6,0,0.878333,1.7384,0.0937,1.9829,0.03
GPR,800,6,-1,0.878333,1.7384,0.0937,1.9829,0.0
GPR,800,7,0,0.866667,1.6997,0.0616,1.9078,0.03
GPR,800,7,-1,0.866667,1.6997,0.0616,1.9078,0.0
GPR,800,8,0,0.891667,1.7621,0.0509,1.9201,0.03
GPR,800,8,-1,0.891667,1.7621,0.0509,1.9201,0.0
GPR,800,9,0,0.853333,1.6725,0.0765,1.9305,0.03
GPR,800,9,-1,0.853333,1.6725,0.0765,1.9305,0.0
