model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
SVM,400,0,-1,0.92,1.8107,0.0651,1.9292,0.0
SVM,400,1,0,0.91,1.7936,0.0482,1.9171,97.63
SVM,400,1,-1,0.91,1.7936,0.0482,1.9171,0.0
SVM,400,2,0,0.855,1.6997,0.0966,1.9633,63.71
SVM,400,2,-1,0.855,1.6997,0.0966,1.9633,0.0
SVM,400,3,0,0.921667,1.8178,0.0502,1.9084,100.48
SVM,400,3,-1,0.921667,1.8178,0.0502,1.9084,0.0
SVM,400,4,0,0.925,1.8118,0.0416,1.9008,77.69
SVM,400,4,-1,0.925,1.8118,0.0416,1.9008,0.0
SVM,400,5,0,0.921667,1.8192,0.0345,1.9104,85.84
SVM,400,5,-1,0.921667,1.8192,0.0345,1.9104,0.0
SVM,400,6,0,0.885,1.7448,0.0614,1.9164,92.26
SVM,400,6,-1,0.885,1.7448,0.0614,1.9164,0.0
SVM,400,7,0,0.908333,1.7771,0.0302,1.8864,94.59
SVM,400,7,-1,0.908333,1.7771,0.0302,1.8864,0.0
SVM,400,8,0,0.898333,1.7645,0.0649,1.9749,57.86
SVM,400,8,-1,0.898333,1.7645,0.0649,1.9749,0.0
SVM,400,9,0,0.888333,1.7523,0.0566,1.9265,61.93
SVM,400,9,-1,0.888333,1.7523,0.0566,1.9265,0.0
SVM,800,0,0,0.911667,1.8194,0.0288,1.9016,1763.81
SVM,800,0,-1,0.911667,1.8194,0.0288,1.9016,0.0
SVM,800,1,0,0.901667,1.7834,0.0266,1.9013,1443.77
SVM,800,1,-1,0.901667,1.7834,0.0266,1.9013,0.0
SVM,800,2,0,0.906667,1.7749,0.0321,1.899,1990.43
SVM,800,2,-1,0.906667,1.7749,0.0321,1.899,0.0
SVM,800,3,0,0.91,1.7658,0.042,1.8912,1563.83
SVM,800,3,-1,0.91,1.7658,0.042,1.8912,0.0
SVM,800,4,0,0.918333,1.8106,0.0405,1.916,820.5
SVM,800,4,-1,0.918333,1.8106,0.0405,1.916,0.0
SVM,800,5,0,0.896667,1.7712,0.0504,1.892,693.54
SVM,800,5,-1,0.896667,1.7712,0.0504,1.892,0.0
SVM,800,6,0,0.908333,1.7882,0.0514,1.9223,613.29
SVM,800,6,-1,0.908333,1.7882,0.0514,1.9223,0.0
SVM,800,7,0,0.921667,1.8095,0.0404,1.9159,795.03
SVM,800,7,-1,0.921667,1.8095,0.0404,1.9159,0.0
SVM,800,8,0,0.915,1.7833,0.0359,1.8981,838.25
SVM,800,8,-1,0.915,1.7833,0.0359,1.8981,0.0
SVM,800,9,0,0.898333,1.7517,0.0426,1.9019,743.29
SVM,800,9,-1,0.898333,1.7517,0.0426,1.9019,0.0
