model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
XGB,50,7,5,0.718333,1.4786,0.3508,2.994,0.1
XGB,50,7,6,0.768333,1.6486,0.3388,2.74,0.1
XGB,50,7,7,0.743333,1.538,0.3314,2.8519,0.1
XGB,50,7,8,0.726667,1.5154,0.3473,2.971,0.1
XGB,50,7,9,0.75,1.5455,0.3302,2.8387,0.1
XGB,50,7,-1,0.74,1.5313,0.3293,2.8423,0.0
XGB,50,8,0,0.616667,1.2197,0.4331,3.4057,0.1
XGB,50,8,1,0.625,1.21,0.4097,3.2963,0.1
XGB,50,8,2,0.606667,1.1805,0.4201,3.3375,0.1
XGB,50,8,3,0.621667,1.2193,0.4243,3.368,0.1
XGB,50,8,4,0.62,1.2128,0.4212,3.3708,0.11
XGB,50,8,5,0.625,1.2355,0.4321,3.3779,0.11
XGB,50,8,6,0.625,1.2178,0.4281,3.3859,0.11
XGB,50,8,7,0.621667,1.1904,0.4199,3.3504,0.1
XGB,50,8,8,0.625,1.2392,0.4195,3.3415,0.1
XGB,50,8,9,0.625,1.2079,0.4282,3.3775,0.1
XGB,50,8,-1,0.623333,1.2133,0.4224,3.3557,0.0
XGB,50,9,0,0.773333,1.6126,0.2848,2.5261,0.1
XGB,50,9,1,0.733333,1.4843,0.2967,2.7404,0.1
XGB,50,9,2,0.745,1.5207,0.2855,2.6137,0.11
XGB,50,9,3,0.743333,1.5226,0.2859,2.6295,0.11
XGB,50,9,4,0.746667,1.5202,0.2815,2.6021,0.11
XGB,50,9,5,0.728333,1.4719,0.2951,2.7043,0.1
XGB,50,9,6,0.755,1.5775,0.2858,2.5503,0.11
XGB,50,9,7,0.731667,1.4843,0.2949,2.7016,0.1
XGB,50,9,8,0.741667,1.5102,0.2981,2.7323,0.11
XGB,50,9,9,0.748333,1.5414,0.293,2.6574,0.11
XGB,50,9,-1,0.743333,1.5246,0.2861,2.6294,0.0
XGB,100,0,0,0.84,1.6566,0.1898,2.1833,0.11
XGB,100,0,1,0.841667,1.6757,0.1917,2.1808,0.11
XGB,100,0,2,0.851667,1.7147,0.2005,2.1811,0.11
XGB,100,0,3,0.843333,1.6696,0.1896,2.1704,0.11
XGB,100,0,4,0.836667,1.6729,0.1971,2.1879,0.11
XGB,100,0,5,0.841667,1.6752,0.1903,2.1785,0.12
XGB,100,0,6,0.833333,1.6723,0.1933,2.1953,0.11
XGB,100,0,7,0.845,1.6868,0.1956,2.1766,0.1
XGB,100,0,8,0.831667,1.6683,0.1941,2.1951,0.1
